module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
admin,real_page,AppRoutePaths.admin,admin,AppRouteNames.sc180AdminHome,sc180AdminHome,InternalSurfaceGate>AdminHomePage,lib/app/router/route_groups/admin_routes.dart,13
admin,real_page,AppRoutePaths.adminAbtests,adminAbtests,AppRouteNames.sc182AbTestDashboard,sc182AbTestDashboard,InternalSurfaceGate>ABTestDashboardPage,lib/app/router/route_groups/admin_routes.dart,31
admin,real_page,AppRoutePaths.adminAnalytics,adminAnalytics,AppRouteNames.sc181AnalyticsDashboard,sc181AnalyticsDashboard,InternalSurfaceGate>AnalyticsDashboardPage,lib/app/router/route_groups/admin_routes.dart,22
admin,real_page,AppRoutePaths.adminFunnels,adminFunnels,AppRouteNames.sc183FunnelDashboard,sc183FunnelDashboard,InternalSurfaceGate>FunnelDashboardPage,lib/app/router/route_groups/admin_routes.dart,40
admin,real_page,AppRoutePaths.adminSettings,adminSettings,AppRouteNames.sc410AdminSettings,sc410AdminSettings,InternalSurfaceGate>AdminSettingsPage,lib/app/router/route_groups/admin_routes.dart,49
arena,real_page,'/arena/challenge/:challengeId','/arena/challenge/:challengeId',AppRouteNames.sc190ArenaChallengeDetail,sc190ArenaChallengeDetail,ArenaChallengeDetailPage,lib/app/router/route_groups/arena_routes.dart,76
arena,real_page,'/arena/creator/:creatorId','/arena/creator/:creatorId',AppRouteNames.sc193ArenaCreator,sc193ArenaCreator,ArenaCreatorPage,lib/app/router/route_groups/arena_routes.dart,98
arena,real_page,'/arena/join/:challengeId','/arena/join/:challengeId',AppRouteNames.sc191ArenaJoin,sc191ArenaJoin,ArenaJoinPage,lib/app/router/route_groups/arena_routes.dart,84
arena,real_page,'/arena/ledger/entry/:entryId','/arena/ledger/entry/:entryId',AppRouteNames.sc200ArenaPointsEntryDetail,sc200ArenaPointsEntryDetail,ArenaPointsEntryDetailPage,lib/app/router/route_groups/arena_routes.dart,182
arena,real_page,'/arena/mode/:modeId','/arena/mode/:modeId',AppRouteNames.sc189ArenaModeDetail,sc189ArenaModeDetail,ArenaModeDetailPage,lib/app/router/route_groups/arena_routes.dart,68
arena,real_page,'/arena/report/:caseId','/arena/report/:caseId',AppRouteNames.sc202ArenaReportCase,sc202ArenaReportCase,ArenaReportCasePage,lib/app/router/route_groups/arena_routes.dart,196
arena,real_page,'/arena/trust/:userId','/arena/trust/:userId',AppRouteNames.sc199ArenaTrustBreakdown,sc199ArenaTrustBreakdown,ArenaTrustBreakdownPage,lib/app/router/route_groups/arena_routes.dart,174
arena,real_page,AppRoutePaths.arena,arena,AppRouteNames.sc184ArenaHome,sc184ArenaHome,ArenaHomePage,lib/app/router/route_groups/arena_routes.dart,35
arena,real_page,AppRoutePaths.arenaBlocked,arenaBlocked,AppRouteNames.sc203ArenaBlockedUsers,sc203ArenaBlockedUsers,ArenaBlockedUsersPage,lib/app/router/route_groups/arena_routes.dart,137
arena,real_page,AppRoutePaths.arenaBridge,arenaBridge,AppRouteNames.sc207ArenaPredictionBridgeFoundation,sc207ArenaPredictionBridgeFoundation,ArenaPredictionBridgeFoundationPage,lib/app/router/route_groups/arena_routes.dart,162
arena,real_page,AppRoutePaths.arenaEcosystem,arenaEcosystem,AppRouteNames.sc208ConnectedEcosystemProduction,sc208ConnectedEcosystemProduction,ConnectedEcosystemProductionPage,lib/app/router/route_groups/arena_routes.dart,168
arena,real_page,AppRoutePaths.arenaFlowMap,arenaFlowMap,AppRouteNames.sc197ArenaFlowMap,sc197ArenaFlowMap,ArenaFlowMapPage,lib/app/router/route_groups/arena_routes.dart,126
arena,real_page,AppRoutePaths.arenaGuide,arenaGuide,AppRouteNames.sc209ArenaGuide,sc209ArenaGuide,ArenaGuidePage,lib/app/router/route_groups/arena_routes.dart,40
arena,real_page,AppRoutePaths.arenaLeaderboard,arenaLeaderboard,AppRouteNames.sc194ArenaLeaderboard,sc194ArenaLeaderboard,ArenaLeaderboardPage,lib/app/router/route_groups/arena_routes.dart,106
arena,real_page,AppRoutePaths.arenaLedger,arenaLedger,AppRouteNames.sc201ArenaPointsLedger,sc201ArenaPointsLedger,ArenaPointsLedgerPage,lib/app/router/route_groups/arena_routes.dart,190
arena,real_page,AppRoutePaths.arenaMy,arenaMy,AppRouteNames.sc205MyArena,sc205MyArena,MyArenaPage,lib/app/router/route_groups/arena_routes.dart,148
arena,real_page,AppRoutePaths.arenaMyReports,arenaMyReports,AppRouteNames.sc204MyArenaReports,sc204MyArenaReports,MyArenaReportsPage,lib/app/router/route_groups/arena_routes.dart,143
arena,real_page,AppRoutePaths.arenaProduction,arenaProduction,AppRouteNames.sc206ArenaProductionReady,sc206ArenaProductionReady,ArenaProductionReadyPage,lib/app/router/route_groups/arena_routes.dart,156
arena,real_page,AppRoutePaths.arenaResolution,arenaResolution,AppRouteNames.sc192ArenaResolutionCenter,sc192ArenaResolutionCenter,ArenaResolutionCenterPage,lib/app/router/route_groups/arena_routes.dart,92
arena,real_page,AppRoutePaths.arenaSafety,arenaSafety,AppRouteNames.sc198ArenaSafetyCenter,sc198ArenaSafetyCenter,ArenaSafetyCenterPage,lib/app/router/route_groups/arena_routes.dart,131
arena,real_page,AppRoutePaths.arenaStudio,arenaStudio,AppRouteNames.sc185ArenaStudio,sc185ArenaStudio,ArenaStudioPage,lib/app/router/route_groups/arena_routes.dart,45
arena,real_page,AppRoutePaths.arenaStudioGovernance,arenaStudioGovernance,AppRouteNames.sc188ArenaGovernanceGate,sc188ArenaGovernanceGate,ArenaGovernanceGatePage,lib/app/router/route_groups/arena_routes.dart,62
arena,real_page,AppRoutePaths.arenaStudioPresets,arenaStudioPresets,AppRouteNames.sc187ArenaPresetLibrary,sc187ArenaPresetLibrary,ArenaUniversalPresetLibraryPage,lib/app/router/route_groups/arena_routes.dart,56
arena,real_page,AppRoutePaths.arenaStudioSmartRules,arenaStudioSmartRules,AppRouteNames.sc186ArenaSmartRules,sc186ArenaSmartRules,ArenaSmartRuleBuilderPage,lib/app/router/route_groups/arena_routes.dart,50
arena,real_page,AppRoutePaths.arenaVerified,arenaVerified,AppRouteNames.sc195VerifiedChallenges,sc195VerifiedChallenges,VerifiedChallengesPage,lib/app/router/route_groups/arena_routes.dart,111
auth,real_page,AppRoutePaths.auth2faSetup,auth2faSetup,AppRouteNames.sc004TwoFaSetup,sc004TwoFaSetup,AuthRouteShell>surfacePage,lib/app/router/route_groups/auth_routes.dart,80
auth,real_page,AppRoutePaths.authForgotPassword,authForgotPassword,AppRouteNames.sc005ForgotPassword,sc005ForgotPassword,AuthRouteShell>surfacePage,lib/app/router/route_groups/auth_routes.dart,91
auth,real_page,AppRoutePaths.authLogin,authLogin,AppRouteNames.sc001Login,sc001Login,AuthRouteShell>surfacePage,lib/app/router/route_groups/auth_routes.dart,40
auth,real_page,AppRoutePaths.authOtp,authOtp,AppRouteNames.sc003Otp,sc003Otp,AuthRouteShell>switch,lib/app/router/route_groups/auth_routes.dart,62
auth,real_page,AppRoutePaths.authRegister,authRegister,AppRouteNames.sc002Register,sc002Register,AuthRouteShell>surfacePage,lib/app/router/route_groups/auth_routes.dart,51
auth,real_page,AppRoutePaths.authResetPassword,authResetPassword,AppRouteNames.sc006ResetPassword,sc006ResetPassword,AuthRouteShell>surfacePage,lib/app/router/route_groups/auth_routes.dart,102
auth,real_page,AppRoutePaths.forceUpdateGate,forceUpdateGate,AppRouteNames.sc418ForceUpdateGate,sc418ForceUpdateGate,ForceUpdateGatePage,lib/app/router/route_groups/auth_routes.dart,126
auth,real_page,AppRoutePaths.maintenanceGate,maintenanceGate,AppRouteNames.sc417MaintenanceGate,sc417MaintenanceGate,MaintenanceGatePage,lib/app/router/route_groups/auth_routes.dart,121
auth,real_page,AppRoutePaths.onboarding,onboarding,AppRouteNames.sc397Onboarding,sc397Onboarding,OnboardingFlowPage,lib/app/router/route_groups/auth_routes.dart,113
dca,real_page,'/dca/rebalance/:configId/edit','/dca/rebalance/:configId/edit',AppRouteNames.sc408DcaRebalanceEdit,sc408DcaRebalanceEdit,DCARebalanceConfigPage,lib/app/router/route_groups/dca_routes.dart,86
dca,real_page,'/dca/rebalance/:configId/history','/dca/rebalance/:configId/history',AppRouteNames.sc409DcaRebalanceHistory,sc409DcaRebalanceHistory,DCARebalanceDashboardPage,lib/app/router/route_groups/dca_routes.dart,92
dca,real_page,AppRoutePaths.dca,dca,AppRouteNames.sc169Dca,sc169Dca,DCAPage,lib/app/router/route_groups/dca_routes.dart,21
