path,line,rule,source
# Generated by tool/tablet_card_border_audit.dart — regenerate after touching tablet presentation files.
features/profile/presentation/widgets/tablet/profile_account_footer_actions.dart,54,R2-adhoc-tint(.28),"borderColor: AppColors.sell.withValues(alpha: .28),"
features/profile/presentation/widgets/tablet/profile_account_hero.dart,280,R1-raw-border,"side: BorderSide(color: AppColors.onAccent.withValues(alpha: .08)),"
features/profile/presentation/widgets/tablet/profile_discovery_panel.dart,37,R2-adhoc-tint(.38),"borderColor: AppColors.accent.withValues(alpha: .38),"
features/profile/presentation/widgets/tablet/profile_kyc_pane.dart,128,R2-adhoc-tint(.45),"borderColor: _ProfileKycPaneState._kycGreen.withValues(alpha: .45),"
features/profile/presentation/widgets/tablet/profile_kyc_pane.dart,313,R1-raw-border,"side: BorderSide("
features/profile/presentation/widgets/tablet/profile_kyc_pane.dart,447,R2-adhoc-tint(.24),"borderColor: _ProfileKycPaneState._kycPrimary.withValues(alpha: .24),"
features/profile/presentation/widgets/tablet/profile_security_pane.dart,200,R1-raw-border,"side: BorderSide("
features/profile/presentation/widgets/tablet/profile_vip_pane.dart,236,R1-raw-border,"side: BorderSide(color: AppColors.onAccent.withValues(alpha: .08)),"
features/profile/presentation/widgets/tablet/profile_vip_pane.dart,620,R2-adhoc-tint(.24),"borderColor: _ProfileVipPaneState._vipSuccess.withValues(alpha: .24),"
features/profile/presentation/widgets/tablet/profile_vip_pane.dart,971,R2-adhoc-tint(.24),"borderColor: _ProfileVipPaneState._vipAccent.withValues(alpha: .24),"
features/trade/presentation/widgets/tablet/order_receipt_page_common.dart,100,R2-adhoc-tint(.18),"borderColor: AppColors.primary.withValues(alpha: .18),"
features/trade/presentation/widgets/tablet/vit_trade_confirm_sheet.dart,90,R2-adhoc-tint(.24),"borderColor: AppColors.warn.withValues(alpha: .24),"
features/wallet/presentation/tablet/pages/asset_detail_tablet_page.dart,88,R2-adhoc-tint(.26),"borderColor: accent.withValues(alpha: .26),"
features/wallet/presentation/tablet/pages/network_status_tablet_page.dart,196,R2-adhoc-tint(.42),"borderColor: summaryColor.withValues(alpha: .42),"
features/wallet/presentation/tablet/pages/network_status_tablet_page.dart,395,R2-adhoc-tint(.32),"borderColor: color.withValues(alpha: .32),"
features/wallet/presentation/tablet/pages/pending_deposits_tablet_page.dart,307,R2-adhoc-tint(.28),"borderColor: color.withValues(alpha: .28),"
features/wallet/presentation/tablet/pages/pending_deposits_tablet_page.dart,424,R2-adhoc-tint(.24),"borderColor: config.color.withValues(alpha: .24),"
features/wallet/presentation/widgets/tablet/wallet_page_balance_sections.dart,41,R2-adhoc-tint(.20),"borderColor: _walletPrimary.withValues(alpha: .20),"
features/wallet/presentation/widgets/tablet/wallet_page_dca_tool_sections.dart,21,R2-adhoc-tint(.28),"borderColor: _walletPurple.withValues(alpha: .28),"
features/wallet/presentation/widgets/tablet/wallet_page_dca_tool_sections.dart,158,R2-adhoc-tint(.18),"borderColor: iconColor.withValues(alpha: .18),"
