module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
utility,real_page,'/referral/friend/:friendId','/referral/friend/:friendId',AppRouteNames.sc289ReferralFriendDetail,sc289ReferralFriendDetail,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,393
utility,real_page,AppRoutePaths.crossModuleAnalytics,crossModuleAnalytics,AppRouteNames.sc322CrossModuleAnalytics,sc322CrossModuleAnalytics,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,93
utility,real_page,AppRoutePaths.devDcaOverview,devDcaOverview,AppRouteNames.sc400DcaOverviewDemo,sc400DcaOverviewDemo,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,226
utility,real_page,AppRoutePaths.devDesignSystem,devDesignSystem,AppRouteNames.sc399DesignSystem,sc399DesignSystem,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,206
utility,real_page,AppRoutePaths.devShowcase,devShowcase,AppRouteNames.sc398MissingScreensShowcase,sc398MissingScreensShowcase,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,184
utility,real_page,AppRoutePaths.enterpriseStates,enterpriseStates,AppRouteNames.sc320EnterpriseStates,sc320EnterpriseStates,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,57
utility,real_page,AppRoutePaths.notifications,notifications,AppRouteNames.sc291Notifications,sc291Notifications,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,275
utility,real_page,AppRoutePaths.performanceMonitor,performanceMonitor,AppRouteNames.sc326PerformanceMonitor,sc326PerformanceMonitor,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,164
utility,real_page,AppRoutePaths.referral,referral,AppRouteNames.sc290ReferralHome,sc290ReferralHome,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,328
utility,real_page,AppRoutePaths.referralHistory,referralHistory,AppRouteNames.sc286ReferralHistory,sc286ReferralHistory,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,344
utility,real_page,AppRoutePaths.referralRewards,referralRewards,AppRouteNames.sc287ReferralRewards,sc287ReferralRewards,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,360
utility,real_page,AppRoutePaths.referralRules,referralRules,AppRouteNames.sc288ReferralRules,sc288ReferralRules,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,377
utility,real_page,AppRoutePaths.rewards,rewards,AppRouteNames.sc319RewardsHub,sc319RewardsHub,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,37
utility,real_page,AppRoutePaths.routeChecker,routeChecker,AppRouteNames.sc325RouteChecker,sc325RouteChecker,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,143
utility,real_page,AppRoutePaths.search,search,AppRouteNames.sc283UnifiedSearch,sc283UnifiedSearch,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,258
utility,real_page,AppRoutePaths.smartAlerts,smartAlerts,AppRouteNames.sc323SmartAlertCenter,sc323SmartAlertCenter,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,109
utility,real_page,AppRoutePaths.taxReports,taxReports,AppRouteNames.sc324TaxReportCenter,sc324TaxReportCenter,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,125
utility,real_page,AppRoutePaths.topicCrypto,topicCrypto,AppRouteNames.sc285TopicCrypto,sc285TopicCrypto,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,308
utility,real_page,AppRoutePaths.topics,topics,AppRouteNames.sc284TopicHub,sc284TopicHub,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,292
utility,real_page,AppRoutePaths.unifiedPortfolio,unifiedPortfolio,AppRouteNames.sc321UnifiedPortfolio,sc321UnifiedPortfolio,buildSurfaceAwareTabletRoute,lib/app/router/route_groups/utility_routes.dart,74
