module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
markets,real_page,'/pair/:pairId','/pair/:pairId',AppRouteNames.sc044PairDetail,sc044PairDetail,_tabletMarketPairRoute,lib/app/router/route_groups/markets_routes.dart,152
markets,real_page,'/pair/:pairId/depth','/pair/:pairId/depth',AppRouteNames.sc046PairDepth,sc046PairDepth,_tabletMarketPairRoute,lib/app/router/route_groups/markets_routes.dart,188
markets,real_page,'/pair/:pairId/info','/pair/:pairId/info',AppRouteNames.sc045TokenInfo,sc045TokenInfo,_tabletMarketPairRoute,lib/app/router/route_groups/markets_routes.dart,170
markets,real_page,AppRoutePaths.markets,markets,AppRouteNames.sc008MarketList,sc008MarketList,switch,lib/app/router/route_groups/markets_routes.dart,38
markets,real_page,AppRoutePaths.marketsAdvancedCharts,marketsAdvancedCharts,AppRouteNames.sc023AdvancedCharts,sc023AdvancedCharts,AdvancedChartsPage,lib/app/router/route_groups/markets_routes.dart,123
markets,real_page,AppRoutePaths.marketsAlerts,marketsAlerts,AppRouteNames.sc014PriceAlerts,sc014PriceAlerts,PriceAlertsPage,lib/app/router/route_groups/markets_routes.dart,77
markets,real_page,AppRoutePaths.marketsCalendar,marketsCalendar,AppRouteNames.sc017MarketCalendar,sc017MarketCalendar,MarketCalendarPage,lib/app/router/route_groups/markets_routes.dart,92
markets,real_page,AppRoutePaths.marketsCompare,marketsCompare,AppRouteNames.sc016ComparisonTool,sc016ComparisonTool,ComparisonToolPage,lib/app/router/route_groups/markets_routes.dart,87
markets,real_page,AppRoutePaths.marketsCorrelations,marketsCorrelations,AppRouteNames.sc026MarketCorrelations,sc026MarketCorrelations,MarketCorrelationsPage,lib/app/router/route_groups/markets_routes.dart,138
markets,real_page,AppRoutePaths.marketsDepth,marketsDepth,AppRouteNames.sc019MarketDepth,sc019MarketDepth,MarketDepthPage,lib/app/router/route_groups/markets_routes.dart,103
markets,real_page,AppRoutePaths.marketsDerivatives,marketsDerivatives,AppRouteNames.sc018DerivativesOverview,sc018DerivativesOverview,DerivativesOverviewPage,lib/app/router/route_groups/markets_routes.dart,97
markets,real_page,AppRoutePaths.marketsHeatmap,marketsHeatmap,AppRouteNames.sc013MarketHeatmap,sc013MarketHeatmap,MarketHeatmapPage,lib/app/router/route_groups/markets_routes.dart,72
markets,real_page,AppRoutePaths.marketsMovers,marketsMovers,AppRouteNames.sc010MarketMovers,sc010MarketMovers,MarketMoversPage,lib/app/router/route_groups/markets_routes.dart,54
markets,real_page,AppRoutePaths.marketsNews,marketsNews,AppRouteNames.sc022MarketNews,sc022MarketNews,MarketNewsPage,lib/app/router/route_groups/markets_routes.dart,118
markets,real_page,AppRoutePaths.marketsOverview,marketsOverview,AppRouteNames.sc009MarketOverview,sc009MarketOverview,MarketOverviewPage,lib/app/router/route_groups/markets_routes.dart,49
markets,real_page,AppRoutePaths.marketsPortfolioTracker,marketsPortfolioTracker,AppRouteNames.sc021PortfolioTracker,sc021PortfolioTracker,PortfolioTrackerPage,lib/app/router/route_groups/markets_routes.dart,113
markets,real_page,AppRoutePaths.marketsScreener,marketsScreener,AppRouteNames.sc015MarketScreener,sc015MarketScreener,MarketScreenerPage,lib/app/router/route_groups/markets_routes.dart,82
markets,real_page,AppRoutePaths.marketsSectors,marketsSectors,AppRouteNames.sc011MarketSectors,sc011MarketSectors,MarketSectorsPage,lib/app/router/route_groups/markets_routes.dart,59
markets,real_page,AppRoutePaths.marketsSignals,marketsSignals,AppRouteNames.sc025SocialSignals,sc025SocialSignals,SocialSignalsPage,lib/app/router/route_groups/markets_routes.dart,133
markets,real_page,AppRoutePaths.marketsSocialSentiment,marketsSocialSentiment,AppRouteNames.sc020SocialSentiment,sc020SocialSentiment,SocialSentimentPage,lib/app/router/route_groups/markets_routes.dart,108
markets,real_page,AppRoutePaths.marketsUnlocks,marketsUnlocks,AppRouteNames.sc024TokenUnlocks,sc024TokenUnlocks,TokenUnlocksPage,lib/app/router/route_groups/markets_routes.dart,128
markets,real_page,AppRoutePaths.marketsWatchlist,marketsWatchlist,AppRouteNames.sc012Watchlist,sc012Watchlist,WatchlistPage,lib/app/router/route_groups/markets_routes.dart,67
