module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
p2p_dispute,real_page,'/p2p/dispute/:orderId','/p2p/dispute/:orderId',AppRouteNames.sc221P2PDispute,sc221P2PDispute,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,108
p2p_dispute,real_page,'/p2p/dispute/detail/:disputeId','/p2p/dispute/detail/:disputeId',AppRouteNames.sc218P2PDisputeDetail,sc218P2PDisputeDetail,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,27
p2p_dispute,real_page,'/p2p/dispute/evidence/:disputeId','/p2p/dispute/evidence/:disputeId',AppRouteNames.sc219P2PDisputeEvidence,sc219P2PDisputeEvidence,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,53
p2p_dispute,real_page,'/p2p/dispute/resolution/:disputeId','/p2p/dispute/resolution/:disputeId',AppRouteNames.sc220P2PDisputeResolution,sc220P2PDisputeResolution,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,82
p2p_dispute,real_page,'/p2p/insurance/claim/:claimId','/p2p/insurance/claim/:claimId',AppRouteNames.sc243P2PClaimDetail,sc243P2PClaimDetail,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,254
p2p_dispute,real_page,AppRoutePaths.p2pDisputes,p2pDisputes,AppRouteNames.sc222P2PDisputes,sc222P2PDisputes,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,134
p2p_dispute,real_page,AppRoutePaths.p2pInsurance,p2pInsurance,AppRouteNames.sc238P2PInsuranceFund,sc238P2PInsuranceFund,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,157
p2p_dispute,real_page,AppRoutePaths.p2pInsuranceCertificate,p2pInsuranceCertificate,AppRouteNames.sc239P2PInsuranceCertificate,sc239P2PInsuranceCertificate,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,185
p2p_dispute,real_page,AppRoutePaths.p2pInsurancePolicy,p2pInsurancePolicy,AppRouteNames.sc241P2PInsurancePolicy,sc241P2PInsurancePolicy,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,231
p2p_dispute,real_page,AppRoutePaths.p2pInsuranceScore,p2pInsuranceScore,AppRouteNames.sc240P2PInsuranceScore,sc240P2PInsuranceScore,switch,lib/app/router/route_groups/p2p_dispute_routes.dart,208
